dateTime,caloriesOut_OR,caloriesOut_FB,caloriesOut_Cardio,caloriesOut_Peak
2018-01-15,,,,
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,,,
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,479.25372,225.81519,0.0,0.0
2018-02-13,1958.00073,127.22457,0.0,0.0
2018-02-14,1659.76635,538.49356,95.38452,30.2808
2018-02-15,1439.16128,379.34608,31.02768,0.0
2018-02-16,2016.6811,752.84925,72.78125,0.0
2018-02-17,1165.19164,581.61628,8.75824,0.0
2018-02-18,1015.36017,300.93228,0.0,0.0
2018-02-19,764.45712,621.91962,8.21016,0.0
2018-02-20,246.79928,271.1268,0.0,0.0
2018-02-21,,,,
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,301.83552,508.78599,0.0,0.0
2018-02-27,729.2891,1180.85506,8.9552,0.0
2018-02-28,1405.7031,834.47546,0.0,0.0
2018-03-01,1124.62974,1637.87758,8.04744,0.0
2018-03-02,876.0416,1142.20628,7.03962,0.0
2018-03-03,712.99704,1136.86272,6.1446,0.0
2018-03-04,1104.9364,745.7092,16.6433,0.0
2018-03-05,1037.6568,2186.244,110.0376,0.0
2018-03-06,1316.4939,1763.6427,88.1655,0.0
2018-03-07,770.59521,1753.23414,157.59408,41.72259
2018-03-08,238.60465,1076.97212,98.85837,21.38074
2018-03-09,244.96665,57.68759,0.0,0.0
2018-03-10,1647.7008,838.36072,72.91136,0.0
2018-03-11,441.91872,513.87588,0.0,0.0
2018-03-12,967.93398,717.87726,123.20046,0.0
2018-03-13,859.75345,228.67215,1181.901,0.0
2018-03-14,289.0812,342.8238,60.3684,0.0
2018-03-15,1305.8227,565.00384,74.2441,0.0
2018-03-16,1204.23745,767.6434,48.1344,0.0
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,,,
2018-03-20,,,,
2018-03-21,,,,
2018-03-22,,,,
2018-03-23,,,,
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,,,
2018-03-27,506.49046,507.4979,60.95012,0.0
2018-03-28,1139.84809,882.61093,20.81688,0.0
2018-03-29,2055.09248,369.83234,0.0,0.0
2018-03-30,1485.6398,930.32302,1146.72047,344.99582
2018-03-31,1373.39748,179.95302,0.0,0.0
2018-04-01,2.85269,8.43404,0.0,0.0
2018-04-02,26.79048,197.33173,0.0,0.0
2018-04-03,91.92846,293.27784,18.48494,0.0
2018-04-04,1152.64116,950.74936,0.0,0.0
2018-04-05,678.32995,1716.41593,145.9306,0.0
2018-04-06,8.87832,326.03164,276.70764,12.57762
2018-04-07,719.6112,354.4464,0.0,0.0
2018-04-08,1014.18104,370.28198,0.0,0.0
2018-04-09,1300.67088,381.91376,0.0,0.0
2018-04-10,1015.3998,221.8345,0.0,0.0
2018-04-11,1198.79556,1094.25872,78.6176,0.0
2018-04-12,1580.19463,773.68984,181.16329,0.0
2018-04-13,1931.8606,1282.5528,32.61984,0.0
2018-04-14,1034.17104,942.40202,196.70112,0.0
2018-04-15,1565.82132,487.48441,0.0,0.0
2018-04-16,1559.87538,999.97772,444.07398,541.17616
2018-04-17,54.7859,454.6486,18.5925,0.0
